Name,Author,CC0,BY,NC,SA,ND,CustomLicense,Link,Source,BPM,Time,Vocal,Drums(>50% of the time),Main Instrument,Generation(?),Feeling
Mana Two - Part 1,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/music/Mana%20Two%20-%20Part%201.mp3,FreePD,,3:54,,,,,
Mana Two - Part 2,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/music/Mana%20Two%20-%20Part%202.mp3,FreePD,,6:02,,,,,
Mana Two - Part 3,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/music/Mana%20Two%20-%20Part%203.mp3,FreePD,,3:12,,,,,
Nordic Wist,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/music/Nordic%20Wist.mp3,FreePD,,2:29,,,,,
Kalimba Relaxation Music,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/music/Kalimba%20Relaxation%20Music.mp3,FreePD,,7:08,,,,,
Germ Factory,*imp*,,0,0,0,0,0,https://freepd.com/Page2/music/Germ%20Factory.mp3,FreePD,,4:10,,,,,
Mysterions,*imp*,,0,0,0,0,0,https://freepd.com/Page2/music/Mysterions.mp3,FreePD,,8:04,,,,,
Ambient A Zyow,frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Ambient%20A%20Zyow.mp3,FreePD,,1:59,,,,,
Ambient B Eastern Thought,frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Ambient%20B%20Eastern%20Thought.mp3,FreePD,,3:15,,,,,
Ambient C Motion,frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Ambient%20C%20Motion.mp3,FreePD,,3:30,,,,,
Ambient D Edges,frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Ambient%20D%20Edges.mp3,FreePD,,3:30,,,,,
Ambient D Wooden Blocks,frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Ambient%20D%20Wooden%20Blocks.mp3,FreePD,,3:35,,,,,
Ambient E Singing Bells,frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Ambient%20E%20Singing%20Bells.mp3,FreePD,,2:43,,,,,
