Name,Author,CC0,BY,NC,SA,ND,CustomLicense,Link,Source,BPM,Time,Vocal,Drums(>50% of the time),Main Instrument,Generation(?),Feeling
Electro DnB A,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electro%20DnB%20A.mp3,FreePD,,5:00,0,1,,,
Electro DnB B Chaos,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electro%20DnB%20B%20Chaos.mp3,FreePD,,4:54,0,1,,,
Electro DnB C,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electro%20DnB%20C.mp3,FreePD,,4:56,0,1,,,
Electro DnB Decent,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electro%20DnB%20Decent.mp3,FreePD,,5:21,0,1,,,
Electro DnB Quirk,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electro%20DnB%20Quirk.mp3,FreePD,,6:02,0,1,,,
ElectroFreak,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/ElectroFreak.mp3,FreePD,,4:47,0,1,,,
ElectroLush,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/ElectroLush.mp3,FreePD,,4:59,0,1,,,
Electronic A Groove Out,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20A%20Groove%20Out.mp3,FreePD,,2:25,0,1,,,
Electronic B Demo Button,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20B%20Demo%20Button.mp3,FreePD,,3:29,0,1,,,
Electronic C Squee Crash,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20C%20Squee%20Crash.mp3,FreePD,,3:30,0,1,,,
Electronic D Turn Around,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20D%20Turn%20Around.mp3,FreePD,,1:58,0,1,,,
Electronic E System is Down,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20E%20System%20is%20Down.mp3,FreePD,,3:26,0,1,,,
Electronic F Electrohorse,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20F%20Electrohorse.mp3,FreePD,,1:55,0,1,,,
Electronic G Percussive Party,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20G%20Percussive%20Party.mp3,FreePD,,3:14,0,1,,,
Electronic H Organizer,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20H%20Organizer.mp3,FreePD,,2:31,0,1,,,
Electronic I Crazy Fun,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20I%20Crazy%20Fun.mp3,FreePD,,3:05,0,1,,,
Electronic J Flattened Funk,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20J%20Flattened%20Funk.mp3,FreePD,,2:43,0,1,,,
Electronic K Deep Nyah,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20K%20Deep%20Nyah.mp3,FreePD,,3:31,0,1,,,
Electronic L Discoed,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20L%20Discoed.mp3,FreePD,,3:22,0,1,,,
Electronic M TechWeather,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20M%20TechWeather.mp3,FreePD,,2:27,0,1,,,
Electronic N Weirgroove,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20N%20Weirgroove.mp3,FreePD,,3:34,0,1,,,
Electronic O Odd Flower,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20O%20Odd%20Flower.mp3,FreePD,,1:54,0,1,,,
Electronic P Disco Accordion,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20P%20Disco%20Accordion.mp3,FreePD,,2:42,0,1,,,
Electronic Q 80s Incarnate,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20Q%2080s%20Incarnate.mp3,FreePD,,2:25,0,1,,,
Electronic R Blip It,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20R%20Blip%20It.mp3,FreePD,,1:54,0,1,,,
Electronic S Cheesy Action,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20S%20Cheesy%20Action.mp3,FreePD,,1:57,0,1,,,
Electronic T Terrible,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20T%20Terrible.mp3,FreePD,,1:55,0,1,,,
Electronic U Popper,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Electronic%20U%20Popper.mp3,FreePD,,1:54,0,1,,,
Flat Straight,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Flat%20Straight.mp3,FreePD,,2:03,0,1,,,
Jungle A,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Jungle%20A.mp3,FreePD,,2:16,0,1,,,
Jungle B,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Jungle%20B.mp3,FreePD,,2:41,0,1,,,
Jungle Edge,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Jungle%20Edge.mp3,FreePD,,5:33,0,1,,,
Jungle Frentic,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Jungle%20Frentic.mp3,FreePD,,6:04,0,1,,,
Jungle Party,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Jungle%20Party.mp3,FreePD,,5:07,0,1,,,
Jungle Space,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Jungle%20Space.mp3,FreePD,,5:59,0,1,,,
JungleShine,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/JungleShine.mp3,FreePD,,5:20,0,1,,,
Light and Lush,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Light%20and%20Lush.mp3,FreePD,,3:24,0,1,,,
Messy Beat,Frank Nora,1,0,0,0,0,0,https://freepd.com/Page2/music/Messy%20Beat.mp3,FreePD,,1:55,0,1,,,
Gansta Badger,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Gansta%20Badger.mp3,FreePD,,3:05,0,1,,,
Low Level Action A,Kevin MacLeod,1,0,0,0,0,0,https://freepd.com/Page2/music/Low%20Level%20Action%20A.mp3,FreePD,,2:27,0,1,,,
Heavily Medicated,Splintered Gypsy,1,0,0,0,0,0,https://freepd.com/Page2/music/Heavily%20Medicated.mp3,FreePD,,3:02,0,1,,,
Mana,Splintered Gypsy,1,0,0,0,0,0,https://freepd.com/Page2/music/Mana.mp3,FreePD,,3:35,0,1,,,
Mangler (Feat. DJ Kaos),Splintered Gypsy,1,0,0,0,0,0,https://freepd.com/Page2/music/Mangler%20(Feat.%20DJ%20Kaos).mp3,FreePD,,3:38,0,1,,,
Mannequins,Splintered Gypsy,1,0,0,0,0,0,https://freepd.com/Page2/music/Mannequins.mp3,FreePD,,4:42,0,1,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
