Name,Author,CC0,BY,NC,SA,ND,Link,Source,BPM,Time,Vocal,Drums(>50% of the time),Main Instrument,Generation(?),Feeling
bluenotes,airtone,0,1,0,0,0,http://dig.ccmixter.org/files/airtone/64427,CC Mixter,85,3:48,0,0,Piano,Jazz,ÊæÊÊ£¬ÓÆÏÐ
Je suis un Phoenix,Bluemillenium,0,1,1,0,0,http://dig.ccmixter.org/files/Bluemillenium/61325,CC Mixter,-1,6:29,0,0,Synthesizer,Ambient,Ç°°ë²¿·Ö¹îÒì£¬¹Â¶À£»ºó°ë²¿·Ö³äÂú¼¤Çé
Obedience,7OOP3D,0,1,1,0,0,http://dig.ccmixter.org/files/7OOP3D/62730,CC Mixter,-1,4:56,0,1,Synthesizer,Downtempo,Ñ¹ÒÖ£¬ºÚ°µ£¬µ«³äÂúÁ¦Á¿
ennui,airtone,0,1,1,0,0,http://dig.ccmixter.org/files/airtone/64531,CC Mixter,80,4:42,0,1,Guitar,Jazz,ÊæÊÊ£¬ÓÆÏÐ
The night is calling,Kraftamt,0,1,0,0,0,http://dig.ccmixter.org/files/Karstenholymoly/62739,CC Mixter,100,3:33,0,1,Synthesizer,Electro,ºÚ°µ£¬Cool
Stardust (Ziggy is coming),Kraftamt,0,1,1,0,0,http://dig.ccmixter.org/files/Karstenholymoly/62493,CC Mixter,-1,3:21,0,1,Synthesizer,Downtempo,¼¤°º£¬Cool
Monsters (2nd Mix),Psykick,0,1,0,0,0,http://dig.ccmixter.org/files/Psykick/40191,CC Mixter,-1,4:59,1,1,Synthesizer,Techno,ºÚ°µ£¬¿Ö²À£¬½¹Ôê
The Thunderstorm,Kraftamt,0,1,1,0,0,http://dig.ccmixter.org/files/Karstenholymoly/41792,CC Mixter,-1,4:25,0,1,Orchestral,Epic,ºêÎ°£¬½¥½ø£¬³äÂúÏ£Íû
spacedust,airtone,0,1,0,0,0,http://dig.ccmixter.org/files/airtone/64741,CC Mixter,-1,5:18,0,1,Piano,?,»¶ÀÖ£¬Äþ¾²
Lights Writing,Milky Blue,0,1,1,0,0,http://dig.ccmixter.org/files/Milky_Blue/63912,CC Mixter,-1,3:17,0,0,Piano,Ambient,Äþ¾²
timebeing,airtone,0,1,1,0,0,http://dig.ccmixter.org/files/airtone/63895,CC Mixter,-1,3:30,0,1,Piano,?,Äþ¾²£¬°²Ïê
??????????????,Apoxode,0,1,1,0,0,http://dig.ccmixter.org/files/Apoxode/64319,CC Mixter,-1,3:33,0,1,?,?,ÓÆÏÐ£¬ÖØ¸´
anotherStory,airtone,0,1,1,0,0,http://dig.ccmixter.org/files/airtone/64312,CC Mixter,-1,4:48,0,0,Synthesizer,Ambient,Äþ¾²
blackSnow,airtone,0,0,0,0,0,http://dig.ccmixter.org/files/airtone/63513,CC Mixter,-1,6:00,1,1,Piano,?,Äþ¾²£¬»¶¿ì£¬¸»ÓÐ½Ú×à¸Ð
